loss,accuracy
0.693321704864502,0.5070000290870667
0.6878644824028015,0.5
0.6835345029830933,0.5
0.6796867847442627,0.5
0.6744022369384766,0.5
0.6673943400382996,0.5139999985694885
0.6571148037910461,0.8920000195503235
0.6433160305023193,0.718999981880188
0.6268707513809204,0.8489999771118164
0.6053909063339233,0.8270000219345093
0.5829260945320129,0.9549999833106995
0.5514174103736877,0.9810000061988831
0.5167224407196045,0.9750000238418579
0.48220792412757874,0.9909999966621399
0.4423907697200775,0.996999979019165
0.40090125799179077,0.9980000257492065
0.36368244886398315,0.9950000047683716
0.32759109139442444,0.9959999918937683
0.28988632559776306,0.996999979019165
0.2568633258342743,1.0
0.2255852073431015,0.9980000257492065
0.20025865733623505,1.0
0.17722564935684204,1.0
0.1578741818666458,1.0
0.14213725924491882,1.0
0.12787297368049622,0.9990000128746033
0.11242949962615967,1.0
0.1024131029844284,0.9990000128746033
0.09302666038274765,0.9990000128746033
0.08664964139461517,0.9990000128746033
0.07669232785701752,1.0
0.07171023637056351,1.0
0.06410195678472519,1.0
0.062471695244312286,0.9990000128746033
0.057191669940948486,1.0
0.05243557691574097,1.0
0.04765624925494194,1.0
0.045427531003952026,1.0
0.04295511916279793,1.0
0.039204392582178116,1.0
0.03848264738917351,1.0
0.03564072400331497,1.0
0.034374214708805084,1.0
0.031208263710141182,1.0
0.030199507251381874,1.0
0.028062662109732628,1.0
0.02682751975953579,1.0
0.02645251713693142,1.0
0.024543916806578636,1.0
0.02343292348086834,1.0
0.02231750078499317,1.0
0.02113422006368637,1.0
0.02087312377989292,1.0
0.0197217408567667,1.0
0.01890457421541214,1.0
0.017945686355233192,1.0
0.01704423315823078,1.0
0.018082046881318092,1.0
0.01610535755753517,1.0
0.015252220444381237,1.0
0.01623639650642872,1.0
0.014658675529062748,1.0
0.014353547245264053,1.0
0.013407472521066666,1.0
0.013028522953391075,1.0
0.012568138539791107,1.0
0.012263449840247631,1.0
0.011609962210059166,1.0
0.011241316795349121,1.0
0.011180523782968521,1.0
0.011000464670360088,1.0
0.010441980324685574,1.0
0.010534941218793392,1.0
0.009556038305163383,1.0
0.010471191257238388,1.0
0.009376716800034046,1.0
0.00880146212875843,1.0
0.009091073647141457,1.0
0.008593100123107433,1.0
0.008324822410941124,1.0
0.008010070770978928,1.0
0.007695228327065706,1.0
0.00842247623950243,1.0
0.007754200603812933,1.0
0.007469605654478073,1.0
0.007098277099430561,1.0
0.007056506350636482,1.0
0.0067620533518493176,1.0
0.006368064321577549,1.0
0.006595937069505453,1.0
0.006415721960365772,1.0
0.00644901767373085,1.0
0.00603301590308547,1.0
0.005669113714247942,1.0
0.006034176331013441,1.0
0.005442282650619745,1.0
0.0057184454053640366,1.0
0.005299394950270653,1.0
0.0053703635931015015,1.0
0.005181989166885614,1.0
